Algorithm,Num_clues,Metric,Mean,Std,Solved,Unsolved
A*,20,time,5.0937213659286495,22.765749256628787,48,2
A*,20,steps,61.0,0.0,48,2
A*,20,nodes_generated,2832.625,5557.654232471496,48,2
A*,20,max_frontier_size,177.52083333333334,34.02326996785517,48,2
SAT,20,time,0.03597873210906982,0.01617273184885807,50,0
SAT,20,clauses,11765.0,0.0,50,0
SAT,20,variables,729.0,0.0,50,0
SAT,20,clause_to_var_ratio,16.13854595336077,0.0,50,0
A*,45,time,0.0040189123153686526,0.0054524950590940915,50,0
A*,45,steps,36.0,0.0,50,0
A*,45,nodes_generated,102.2,50.74642844575369,50,0
A*,45,max_frontier_size,8.18,4.581222544256064,50,0
SAT,45,time,0.036246414184570315,0.011243391173313739,50,0
SAT,45,clauses,11790.0,0.0,50,0
SAT,45,variables,729.0,0.0,50,0
SAT,45,clause_to_var_ratio,16.17283950617284,0.0,50,0
A*,70,time,0.0010259342193603515,0.0033588744751048673,50,0
A*,70,steps,11.0,0.0,50,0
A*,70,nodes_generated,12.18,0.43312815655415426,50,0
A*,70,max_frontier_size,1.16,0.36660605559646714,50,0
SAT,70,time,0.03472575664520264,0.007292092463040599,50,0
SAT,70,clauses,11815.0,0.0,50,0
SAT,70,variables,729.0,0.0,50,0
SAT,70,clause_to_var_ratio,16.207133058984912,0.0,50,0
